Hours_Studied,Previous_Scores,Extracurricular_Activities,Sleep_Hours,Sample_Question_Papers_Practiced,Performance_Index,Students_Attendance,Target
7,99,Yes,9,1,91,70,Dropout
4,82,No,4,2,65,92,Graduate
8,51,Yes,7,2,45,67,Dropout
5,52,Yes,5,2,36,82,Graduate
7,75,No,8,5,66,80,Graduate
3,78,No,9,6,61,72,Graduate
7,73,Yes,5,6,63,85,Graduate
8,45,Yes,4,6,42,75,Dropout
5,77,No,8,2,61,80,Graduate
4,89,No,4,0,69,70,Dropout
8,91,No,4,5,84,85,Graduate
8,79,No,6,2,73,65,Graduate
3,47,No,9,2,27,70,Dropout
6,47,No,4,2,33,75,Graduate
5,79,No,7,8,68,80,Graduate
2,72,No,4,3,43,85,Dropout
8,73,Yes,8,4,67,75,Graduate
6,83,Yes,7,2,70,68,Graduate
2,54,Yes,4,9,30,65,Graduate
5,75,No,7,0,63,95,Graduate
1,99,Yes,4,3,71,90,Graduate
6,96,No,9,0,85,78,Graduate
9,74,Yes,7,6,73,78,Graduate
1,85,No,5,6,57,80,Graduate
3,61,No,6,3,35,85,Graduate
7,62,Yes,7,4,49,95,Graduate
4,79,No,8,9,66,78,Graduate
9,84,Yes,6,6,83,79,Graduate
3,94,Yes,6,5,74,65,Graduate
5,90,Yes,4,3,74,98,Graduate
3,61,Yes,7,3,39,98,Graduate
7,44,Yes,9,1,36,68,Graduate
5,70,Yes,6,9,58,88,Graduate
9,52,Yes,8,1,47,75,Graduate
7,67,Yes,9,3,60,88,Graduate
2,97,Yes,9,4,74,88,Dropout
4,59,No,8,3,42,88,Dropout
9,72,No,8,2,68,90,Dropout
2,55,Yes,4,1,32,75,Graduate
9,68,No,5,3,64,98,Dropout
5,62,No,7,4,45,95,Dropout
2,63,Yes,6,0,39,98,Graduate
4,73,Yes,7,0,58,78,Graduate
7,46,No,9,5,36,95,Dropout
8,77,Yes,6,4,71,75,Dropout
3,76,Yes,4,3,54,77,Graduate
1,43,Yes,7,0,17,85,Graduate
4,73,No,4,6,54,70,Graduate
2,81,Yes,4,3,58,95,Graduate
8,61,No,7,2,53,95,Graduate
4,44,Yes,7,6,27,75,Graduate
2,89,Yes,6,1,65,90,Graduate
6,81,No,9,9,75,90,Graduate
6,62,Yes,9,0,52,96,Graduate
